Top queries,Clicks,Impressions,CTR,Position
number guessing game python,5223,14578,35.83%,1.61
thecleverprogrammer,2809,3456,81.28%,1.02
python projects with source code,2077,73380,2.83%,5.94
classification report in machine learning,2012,4959,40.57%,1.28
the clever programmer,1931,2528,76.38%,1.09
standard scaler in machine learning,1559,7292,21.38%,1.53
aman kharwal,1490,5752,25.9%,3.75
python turtle graphics code,1455,13585,10.71%,4.6
python game projects with source code,1421,4946,28.73%,2.23
82 python projects with source code,1343,3562,37.7%,1.32
guess the number python,1287,4569,28.17%,2.36
clever programmer,1243,21566,5.76%,4.82
car price prediction using machine learning,1200,7072,16.97%,3.48
aman kharwal data science mentor,1155,2721,42.45%,1.24
random_state=42,1113,5669,19.63%,3.51
rock paper scissors python,1111,35824,3.1%,7.19
applications of unsupervised learning,1099,5038,21.81%,2.78
stress detection using machine learning,1091,4331,25.19%,3.21
python number guessing game,1027,3805,26.99%,2.09
guessing game python,978,5611,17.43%,2.73
hangman game in python,958,9120,10.5%,5.48
classification report,933,39896,2.34%,7.53
guess the number game python,930,4431,20.99%,2.55
earthquake prediction using machine learning,920,3290,27.96%,3.19
python card game,892,2216,40.25%,1.11
application of unsupervised learning,814,3901,20.87%,2.1
unemployment analysis with python,793,1596,49.69%,1.05
alexnet python,772,1733,44.55%,1.57
house price prediction,758,11695,6.48%,6.93
fake currency detection using machine learning,748,3160,23.67%,2.59
book recommendation system,745,9054,8.23%,5.48
rock paper scissors python code copy and paste,740,1948,37.99%,2.05
r2 score machine learning,716,5132,13.95%,3.14
longest common prefix python,710,5166,13.74%,5.2
machine learning roadmap,708,42715,1.66%,8.97
how to find accuracy of a model in python,701,2502,28.02%,2
pandas datareader,662,26663,2.48%,5.82
number guessing game in python,655,2178,30.07%,1.91
classification report machine learning,629,1330,47.29%,1.08
guessing game in python,620,2227,27.84%,2.01
word cloud python pandas,611,1370,44.6%,1.26
unsupervised learning applications,575,4623,12.44%,3.13
standardscaler in machine learning,558,2615,21.34%,1.66
random number guessing game python,553,1619,34.16%,2.06
python guessing game,541,3085,17.54%,2.69
card game python,538,1189,45.25%,1.1
r2 machine learning,537,1830,29.34%,2.31
best case time complexity,530,7845,6.76%,3.56
iris flower classification using python,522,1210,43.14%,1.03
online payment fraud detection using machine learning,517,2218,23.31%,2.01
facebook programming language,514,12163,4.23%,3.23
python graphics code,513,7509,6.83%,5.76
otp verification using python,507,1185,42.78%,1.47
image to array python,502,3007,16.69%,2.66
pandas_datareader,489,24689,1.98%,6.35
advanced python turtle code,487,1329,36.64%,1.27
how to make a number guessing game in python,482,1482,32.52%,2.28
card game in python,475,942,50.42%,1.03
what is classification report in machine learning,473,1295,36.53%,1.22
multinomial naive bayes,460,22766,2.02%,9.06
python maze solver,456,1384,32.95%,2.06
instagram reach analysis,452,1360,33.24%,1.6
product demand prediction with machine learning,449,940,47.77%,1.39
c++ functions practice problems,448,1529,29.3%,2.13
python guess the number,448,1268,35.33%,2.14
guessing number game python,443,1285,34.47%,2.27
egg catcher game python,436,866,50.35%,1.36
weather forecasting project in python,434,1296,33.49%,1.25
number guessing game python code,432,1274,33.91%,1.84
hotel recommendation system,406,1363,29.79%,1.65
instagram reach analysis and prediction,406,776,52.32%,1.07
python turtle graphics,397,22096,1.8%,7.73
fashion recommendation system,396,3006,13.17%,3.84
rock paper scissors game in python,392,10082,3.89%,7.45
python guess the number game,390,1957,19.93%,2.96
python image to array,384,2131,18.02%,2.7
sarcasm detection using machine learning,384,1119,34.32%,2.12
python project with source code,383,15191,2.52%,7.54
salary prediction using machine learning,380,2118,17.94%,4.19
colorama colors,379,3872,9.79%,4.56
