Transaction_ID,Transaction_Amount,Transaction_Volume,Average_Transaction_Amount,Frequency_of_Transactions,Time_Since_Last_Transaction,Day_of_Week,Time_of_Day,Age,Gender,Income,Account_Type
TX0,1024.8357076505617,3,997.2347139765764,12,29,Friday,06:00,36,Male,1436074,Savings
TX1,1013.9520646100069,4,1020.2103056961305,7,22,Friday,01:00,41,Female,627069,Savings
TX2,970.9560932988243,1,989.496603856437,5,12,Tuesday,21:00,61,Male,786232,Savings
TX3,1040.8222540475663,2,969.5224800476827,16,28,Sunday,14:00,61,Male,619030,Savings
TX4,998.7772411252968,1,1007.1110263424487,7,7,Friday,08:00,56,Female,649457,Savings
TX5,969.9873074947044,1,1018.9487964209328,6,20,Thursday,14:00,24,Male,872843,Savings
TX6,973.3175598078757,2,999.8894427535975,5,4,Tuesday,07:00,21,Male,1105889,Savings
TX7,931.1030348088759,4,992.9376669598587,10,29,Sunday,17:00,43,Male,502283,Savings
TX8,1036.9233289997705,4,1003.4273656237995,18,23,Thursday,07:00,38,Female,323247,Savings
TX9,1013.1743020115105,4,1032.8354223202816,14,25,Thursday,12:00,58,Female,1278732,Current
TX10,966.1538999847021,4,1012.2335257768174,19,11,Wednesday,16:00,25,Male,313986,Savings
TX11,1023.8021293713485,2,1026.0732253679716,11,26,Monday,06:00,26,Female,1379111,Current
TX12,955.1832408435349,3,997.7602435898611,11,24,Friday,02:00,61,Female,324538,Savings
TX13,897.7788489090043,3,1021.3896177239386,18,3,Monday,04:00,43,Male,923094,Current
TX14,998.2086980445024,1,1031.2928731162801,19,15,Tuesday,09:00,30,Male,553618,Savings
TX15,1004.3523534119086,4,994.0198529906827,17,4,Saturday,04:00,40,Female,1273548,Savings
TX16,929.0701768492221,1,1003.8067396993033,11,27,Wednesday,21:00,45,Female,343585,Current
TX17,926.6516057410237,1,1017.8525894301232,10,28,Thursday,11:00,61,Female,325939,Savings
TX18,1004.8538774674021,2,1019.3728998106578,11,28,Monday,06:00,50,Female,985440,Savings
TX19,980.3945923433921,4,970.7297010373576,17,9,Wednesday,06:00,23,Female,321959,Savings
TX20,934.5024656393763,1,1058.8732683296257,7,10,Thursday,23:00,32,Female,361087,Current
TX21,1094.3092950605264,1,1003.4915562566367,18,17,Tuesday,19:00,29,Male,365318,Savings
TX22,904.0614392350479,1,999.4697224910157,12,17,Wednesday,16:00,19,Male,1320545,Savings
TX23,977.9116988386994,4,998.3166982963764,5,1,Wednesday,01:00,61,Female,425657,Savings
TX24,1057.141140725751,3,1015.0386606537355,5,6,Friday,19:00,51,Male,1283237,Savings
TX25,1060.9025218878255,4,992.2108395139304,5,9,Thursday,05:00,33,Female,1364284,Current
TX26,979.1771818224313,4,1017.1500650317622,7,26,Wednesday,18:00,37,Female,958271,Current
TX27,1021.4006420494713,4,950.6060226986481,5,11,Thursday,17:00,40,Male,854594,Current
TX28,968.7191852383534,4,989.5507704093484,13,20,Thursday,16:00,19,Female,986976,Savings
TX29,1012.9941397124212,1,1015.6364574355462,13,3,Wednesday,15:00,33,Female,890978,Savings
TX30,985.7255349506835,1,1021.305849376919,12,20,Wednesday,16:00,25,Male,1091971,Savings
TX31,1011.3144134749438,3,1016.9480286515328,18,25,Wednesday,17:00,63,Male,1426081,Current
TX32,1052.4673696160432,1,1026.502113230284,8,1,Thursday,00:00,31,Female,1177844,Current
TX33,976.8736569899124,4,977.7500529134111,11,3,Monday,00:00,29,Male,407450,Current
TX34,931.5064471641851,2,984.5643850101349,18,6,Saturday,12:00,25,Male,1499386,Savings
